"YEAR","CASEID","METRO","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","HH_NUMADULTS","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","EDUCYRS","MULTJOBS","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","KIDUND18","KIDUND1","COVIDTELEW","ACT_HHACT"
2020,20200101200103,1,13,1,2,0,1,0,1,1,1,5541150.024906,85,1,110,2,316,99,99,9999,99999.99,3,0,0,99,0
2020,20200101200158,1,15,3,2,1,1,2,1,1,1,2.3480415185022E7,43,1,100,5,217,0,1,40,2076.92,3,1,0,99,110
2020,20200101200215,1,4,1,2,0,1,0,1,1,1,1.0433370776781E7,23,2,100,6,217,1,2,30,315.0,3,0,0,99,20
2020,20200101200256,1,9,4,1,1,1,1,3,1,1,8671348.931807,18,1,100,6,112,99,99,9999,99999.99,3,0,0,99,14
2020,20200101200395,4,14,6,1,1,1,2,4,1,1,4.5141376877048E7,20,1,100,6,112,0,2,17,176.0,3,0,0,99,30
2020,20200101200512,1,15,2,2,0,1,0,2,1,1,3.6015633485252E7,27,2,110,6,214,0,1,40,660.0,3,0,0,99,33
2020,20200101200532,4,1,1,1,0,1,0,1,1,1,4469457.678949,52,2,100,3,214,99,99,9999,99999.99,3,0,0,99,362
2020,20200101200576,2,14,3,1,1,1,1,2,1,1,3856737.466491,30,2,100,1,217,0,1,40,1519.23,1,1,0,99,170
2020,20200101200586,4,12,2,1,0,1,0,2,1,1,1.3486592719511E7,58,1,110,1,112,0,1,48,1751.36,1,0,0,99,15
2020,20200101200641,5,12,1,1,0,1,0,1,1,1,3382890.205241,45,2,100,6,215,0,1,48,1000.0,3,0,0,99,70
2020,20200101200655,2,4,1,1,0,12,0,1,1,1,1962044.00227,78,2,100,4,217,99,99,9999,99999.99,3,0,0,99,180
2020,20200101200694,1,7,1,1,0,1,0,1,1,1,2038733.708867,85,2,100,3,316,99,99,9999,99999.99,3,0,0,99,50
2020,20200101200719,2,16,5,1,1,1,3,2,1,1,1.0724690569572E7,40,2,100,1,217,0,1,45,1538.46,1,1,0,99,83
2020,20200101200734,3,15,4,1,1,1,2,2,1,1,4122074.183005,38,2,100,1,316,0,1,45,1050.0,1,1,0,99,225
2020,20200101200759,4,8,2,1,0,1,0,2,1,1,1.5861189127572E7,85,2,100,4,320,99,99,9999,99999.99,3,0,0,99,295
2020,20200101200771,2,16,4,1,1,1,2,2,1,1,7956609.176628,41,1,100,1,217,0,1,40,1826.92,1,1,0,99,30
2020,20200101200780,2,15,3,1,1,1,1,2,1,1,1.763650905097E7,41,1,100,4,111,1,1,9995,2000.0,3,1,0,99,70
2020,20200101200809,2,11,2,2,0,1,0,2,1,1,1.8008945681832E7,29,1,100,1,102,0,1,48,99999.99,1,0,0,99,300
2020,20200101200814,1,14,5,2,1,1,3,2,1,1,3892838.411354,36,2,132,1,217,99,99,9999,99999.99,1,1,0,99,220
2020,20200101200829,2,11,2,1,0,1,0,2,1,1,8701863.321762,75,1,100,1,112,99,99,9999,99999.99,1,0,0,99,60
2020,20200101200838,2,10,1,1,0,1,0,1,1,1,5817659.136167,73,2,100,4,316,99,99,9999,99999.99,3,0,0,99,117
2020,20200101200849,2,15,2,1,0,1,0,2,1,1,1.1649925886956E7,67,1,100,4,316,99,99,9999,99999.99,1,0,0,99,132
2020,20200101200861,1,15,2,1,0,1,0,2,1,1,1.195421270494E7,80,1,100,1,321,99,99,9999,99999.99,1,0,0,99,63
2020,20200101200890,2,10,2,1,0,1,0,2,1,1,1.5491947904709E7,71,1,100,1,112,99,99,9999,99999.99,1,0,0,99,83
2020,20200101200915,1,13,2,1,0,1,0,2,1,1,1.4286375129024E7,28,1,100,1,217,0,1,36,1198.44,1,0,0,99,120
2020,20200101200964,2,13,1,1,0,1,0,1,1,1,7823463.706276,42,2,110,6,112,1,1,60,826.0,3,0,0,99,0
2020,20200101200973,3,1,1,1,0,1,0,1,1,1,6731592.024651,59,1,110,6,109,99,99,9999,99999.99,3,0,0,99,0
2020,20200101201014,2,16,2,1,0,1,0,2,1,1,1.2640349863061E7,54,2,100,1,214,0,1,50,1346.15,1,0,0,99,15
2020,20200101201058,3,8,2,1,0,1,0,2,1,1,4181716.050943,70,2,100,3,214,99,99,9999,99999.99,3,0,0,99,178
2020,20200101201073,2,13,3,1,1,1,1,2,1,1,5685291.219481,55,1,100,4,112,99,99,9999,99999.99,1,1,0,99,65
2020,20200101201074,1,1,1,2,0,1,0,1,1,1,6600987.830602,60,1,100,4,109,99,99,9999,99999.99,3,0,0,99,5
2020,20200101201099,2,7,1,1,0,1,0,1,1,1,4745567.742393,74,2,110,4,213,99,99,9999,99999.99,3,0,0,99,85
2020,20200101201110,2,13,1,1,0,1,0,1,1,1,8828808.069084,45,1,100,4,213,99,99,9999,99999.99,3,0,0,99,35
2020,20200101201119,3,14,1,2,0,1,0,1,1,1,3328977.829775,57,2,100,4,217,0,1,40,1538.46,3,0,0,99,150
2020,20200101201134,3,12,1,2,0,1,0,1,1,1,9495438.47457,40,1,100,6,112,0,1,41,989.8,3,0,0,99,80
2020,20200101201144,3,6,2,2,0,1,0,2,1,1,4677004.469603,76,2,110,3,111,99,99,9999,99999.99,3,0,0,99,20
2020,20200101201230,2,15,3,1,0,1,0,3,1,1,7197420.665887,80,1,131,1,217,99,99,9999,99999.99,1,0,0,99,25
2020,20200101201268,2,15,2,2,0,1,0,2,1,1,4938866.826578,51,1,100,1,216,0,1,50,1923.07,1,0,0,99,15
2020,20200101201270,2,16,4,1,0,1,0,4,1,1,1.2442457149019E7,53,2,100,1,316,0,2,32,1153.84,1,0,0,99,0
2020,20200101201274,2,9,1,1,0,1,0,1,1,1,5745582.448528,69,1,100,3,217,0,2,23,99999.99,3,0,0,99,155
2020,20200101201310,2,7,3,3,0,1,0,3,1,1,1.2658349812657E7,38,1,100,5,111,99,99,9999,99999.99,3,0,0,99,15
2020,20200101201312,1,13,1,1,0,1,0,1,1,1,4772872.140464,68,2,100,3,217,99,99,9999,99999.99,3,0,0,99,192
2020,20200101201313,2,9,2,1,0,1,0,2,1,1,1.1683715311156E7,64,1,100,4,214,99,99,9999,99999.99,3,0,0,99,0
2020,20200101201337,3,4,2,1,0,1,0,2,1,1,5061068.316643,64,2,110,6,112,99,99,9999,99999.99,3,0,0,99,160
2020,20200101201370,2,14,1,2,0,1,0,1,1,1,9609930.442308,48,1,131,5,217,0,1,40,1538.46,3,0,0,99,133
2020,20200101201372,4,11,1,1,0,1,0,1,1,1,2325142.95974,69,2,100,3,112,99,99,9999,99999.99,3,0,0,99,170
2020,20200101201380,1,7,1,1,0,1,0,1,1,1,8257331.307331,59,1,100,4,110,0,1,40,520.0,3,0,0,99,145
2020,20200101201406,2,9,1,2,0,1,0,1,1,1,8104175.09632,78,2,100,3,111,99,99,9999,99999.99,3,0,0,99,282
